AVERAGE,CLEANLINESS,COMMUNICATION,CHECKIN,ACCURACY,LOCATION,VALUE,RATINGS_ID
3.2,1.0,1.4,4.4,3.5,4.5,4.4,48
2.9,2.9,3.7,4.4,2.6,2.1,1.8,49
2.9,4.4,2.1,3.4,3.7,1.7,2.3,50
3.1,3.5,2.3,3.9,2.9,5.0,1.5,51
2.4,2.8,1.6,3.9,2.1,2.4,2.1,52
2.1,1.0,1.1,1.8,1.5,2.7,5.0,53
2.5,1.3,2.4,2.7,2.3,2.2,4.7,54
3.2,3.3,3.7,1.7,2.1,4.1,4.4,55
2.7,4.1,1.9,1.8,4.2,2.8,1.4,56
3.0,3.7,1.9,3.7,4.8,1.5,2.5,57
2.7,4.2,1.5,1.6,4.0,3.3,1.8,58
2.9,2.1,3.1,2.8,4.0,2.8,2.9,59
3.4,2.6,4.2,3.9,3.9,4.9,1.4,60
3.0,3.6,1.5,3.2,2.8,4.1,2.8,61
2.9,1.5,1.0,4.8,4.5,4.2,1.6,62
4.0,3.6,4.0,3.7,3.4,4.8,4.7,63
3.6,4.1,4.6,5.0,4.3,2.0,2.0,64
3.3,2.7,3.2,2.4,3.4,4.2,4.3,65
2.3,1.1,5.0,1.1,1.9,3.6,1.1,66
3.1,3.8,3.0,2.6,3.8,4.3,1.5,67
2.7,4.6,2.6,4.1,1.3,2.6,1.0,68
2.0,1.0,2.9,1.6,1.2,3.1,2.7,69
2.6,1.7,3.5,2.1,2.0,4.4,1.9,70
3.0,2.0,3.4,3.9,1.7,4.0,3.2,71
3.6,4.7,4.3,2.2,4.6,1.2,4.9,72
3.3,4.6,3.9,4.2,2.1,1.5,3.6,73
3.5,4.6,4.5,1.6,4.4,4.2,2.1,74
2.2,2.1,1.5,1.3,2.8,3.5,2.0,75
2.2,1.0,2.5,3.0,4.1,1.7,1.3,76
2.9,3.6,2.7,4.3,1.4,1.4,4.2,77
3.1,3.4,1.6,3.2,1.7,4.0,4.9,78
2.9,1.1,3.5,1.5,4.8,3.8,2.9,79
3.3,2.0,4.0,1.8,4.9,2.2,5.0,80
2.6,1.6,2.4,4.6,3.3,1.0,3.0,81
3.4,5.0,4.1,4.1,1.8,3.4,2.3,82
2.9,4.6,1.2,2.4,3.2,4.2,2.2,83
3.9,3.8,3.8,4.8,4.7,2.8,3.5,84
2.4,3.0,2.9,2.8,3.2,1.2,1.8,85
3.5,4.2,3.1,2.0,3.0,4.3,4.5,86
4.2,3.8,4.7,4.5,4.3,2.9,5.0,87
3.5,4.8,4.7,1.7,3.3,4.5,2.5,88
3.3,4.0,3.9,4.8,1.4,4.9,1.1,89
3.8,3.6,3.5,3.7,3.6,4.8,3.8,90
2.7,1.6,2.1,2.4,2.5,3.3,4.4,91
2.4,1.7,1.5,3.1,4.2,1.5,2.9,92
2.7,2.8,3.5,1.2,2.7,2.7,3.9,93
2.4,2.9,2.3,4.2,1.6,2.3,1.2,94
2.6,1.6,2.6,4.8,1.4,3.4,1.8,95
3.5,2.3,4.9,3.1,3.9,3.1,4.0,96
3.2,4.3,2.0,4.3,1.8,3.4,3.8,97
3.1,1.3,3.1,2.3,2.9,4.6,4.5,98
2.4,4.3,1.2,2.6,1.3,4.3,1.2,99
3.8,1.5,4.9,3.6,3.4,4.5,5.0,100
